DATAFLOW,FREQ,INDICATOR,REF_AREA,UNIT,TIME_PERIOD,OBS_VALUE
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,1990,423672.224545862
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,1991,423733.063875685
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,1992,427426.084254575
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,1993,428337.072226758
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,1994,428818.220666782
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,1995,437276.554470528
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,1996,443928.268203045
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,1997,456015.976421891
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,1998,469751.524150252
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,1999,476391.986612509
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2000,487777.762806434
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2001,495604.310396663
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2002,499190.485125836
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2003,500599.961947057
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2004,517726.513518175
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2005,524211.488965003
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2006,528038.421581892
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2007,534417.835021602
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2008,537262.311990541
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2009,540381.618373708
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2010,535549.224196195
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2011,537205.495236413
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2012,539511.054796992
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2013,530311.913740354
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2014,524709.397343331
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2015,533063.831868562
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2016,542287.865347481
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2017,549330.021694633
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2018,549731.942122923
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUS,Gg_CO2,2019,545152.517975278
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUT,Gg_CO2,1990,78420.4853134731
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUT,Gg_CO2,1991,82082.331738836
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUT,Gg_CO2,1992,75469.2711574783
UNSD:DF_UNData_UNFCC(1.0),A,EN_CLC_GHGE_XLULUCF,AUT,Gg_CO2,1993,75709.1891514719
