DATAFLOW,FREQ,REF_AREA,COMMODITY,TRANSACTION,TIME_PERIOD,OBS_VALUE,UNIT_MULT,UNIT_MEASURE,OBS_STATUS
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,1990,105,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,1991,94,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,1992,8,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,1993,7,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,1994,6,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,1995,5,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,1996,3,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,1997,2,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,1998,2,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,1999,1,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2000,1,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2001,26,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2002,21,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2003,35,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2004,34,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,03,1990,0,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,03,1991,0,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,03,1992,0,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,04,1990,0,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,04,1991,0,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,04,1992,0,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,1990,8167,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,1991,7920,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,1992,7373,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,1993,7130,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,1994,6830,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,1995,6550,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,1996,6250,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,1997,5750,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,1998,5350,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,1999,4950,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2000,4550,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2001,4250,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2002,11121,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2003,9443,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2004,4643,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,1990,113,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,1991,105,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,1992,82,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,1993,80,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,1994,77,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,1995,75,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,1996,70,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,1997,65,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,1998,61,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,1999,8,3,TN,A
