DATAFLOW,FREQ,REF_AREA,COMMODITY,TRANSACTION,TIME_PERIOD,OBS_VALUE,UNIT_MULT,UNIT_MEASURE,OBS_STATUS
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2005,33,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2006,35,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2007,243,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2008,347,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2009,500,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2010,725,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2011,1480,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2012,1240,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2013,1347,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2014,1517.4,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2015,1364.8,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2016,1698.2,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2017,2191.4,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2018,2445,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,01,2019,2139,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,03,2019,0.5,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,04,2009,8,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,04,2010,20,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,04,2011,46,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,04,2012,203,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,04,2013,231,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,04,2014,252,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,04,2015,425,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,04,2016,733,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,04,2017,1014,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,04,2018,1117,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,0100,04,2019,772,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2005,6711,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2006,6672,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2007,6282,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2008,6048,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2009,5541,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2010,5541,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2011,6282,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2012,6243,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2013,6028.7445,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2014,5537.0799,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2015,5704.8702,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2016,6450.1713,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2017,6091.1781,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2018,5978.0172,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,3000,01,2019,5022.0027,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4100,03,2011,50,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4100,03,2012,80,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4100,03,2013,90,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4100,03,2014,100,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4100,03,2015,110,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4100,03,2016,110,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4100,03,2017,116.8,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4100,03,2018,184.8,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4100,03,2019,118.4,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,01,2011,18,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,01,2012,30,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,01,2013,34,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,01,2014,38,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,01,2015,43,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,01,2016,43,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,01,2017,44,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,01,2018,68,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,01,2019,44,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,2005,96,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,2006,85,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,2007,207,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,2008,252,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,2009,306.8,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,2010,454.6,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,2011,569.3,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,2012,512,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,2013,525.5,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,2014,368.5,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,2015,713,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,2016,458.5,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,2017,534.7,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,2018,705.1,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4652,03,2019,794.9,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,01,2011,19,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,01,2012,30,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,01,2013,34,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,01,2014,38,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,01,2015,43,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,01,2016,43,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,01,2017,44,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,01,2018,68,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,01,2019,44,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,03,2005,109,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,03,2006,200,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,03,2007,113,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,03,2008,420.4,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,03,2009,782.3,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,03,2010,867.4,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,03,2011,748.5,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,03,2012,960.1,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,03,2013,558.8,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,03,2014,455.7,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,03,2015,608.6,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,03,2016,485.4,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,03,2017,303.7,3,TN,E
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,03,2018,372.6,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,004,4670,03,2019,760.5,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,0100,01,2015,69,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,0100,01,2016,4.2,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,0100,01,2017,45.8,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,0100,01,2018,97.6,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,0100,01,2019,31.48,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,0100,03,2013,102,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,0100,03,2014,133,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,0100,03,2015,102.42,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,0100,03,2016,80.96,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,0100,03,2017,107.18,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,0100,03,2018,128.85,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,0100,03,2019,116.19,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,0100,04,2014,0.37,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,0100,04,2015,0.07,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,0100,04,2017,29.95,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,0100,04,2018,2.15,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,3000,01,2005,419,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,3000,01,2006,419,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,3000,01,2007,670,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,3000,01,2008,335,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,3000,01,2009,342.12,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,3000,01,2010,537.99,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,3000,01,2011,627.3,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,3000,01,2012,613.98,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,3000,01,2013,678.38,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,3000,01,2014,1154.81,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,3000,01,2015,1273,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,3000,01,2016,3307.6,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,3000,01,2017,3422.486,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,3000,01,2018,3075.6,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,3000,01,2019,2681.59,0,TJ,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,4100,01,2005,418,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,4100,01,2006,500,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,4100,01,2007,564,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,4100,01,2008,577.9,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,4100,01,2009,576.63,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,4100,01,2010,743.95,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,008,4100,01,2011,894.53,3,TN,A
